Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
10/30/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT,,,,$3000.00
10/27/2023,Sell,SNOXX,TDA TRAN - Sold 3000 (SNOXX) @1.0000,"3,000",$1.00,,$3000.00
10/25/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT,,,,$0.24
10/25/2023,Qual Div Reinvest,,TDA TRAN - QUALIFIED DIVIDEND (GE),,,,$0.24
10/23/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$428.55
10/19/2023,Buy,NVDA,TDA TRAN - Bought 1 (NVDA) @428.5499,1,$428.55,,-$428.55
10/18/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$5331.01
10/16/2023,Reinvest Shares,SNOXX,TDA TRAN - Bought 20.31 (SNOXX) @1.0000,20.31,$1.00,,-$20.31
10/16/2023,Cash Dividend,,TDA TRAN - ORDINARY DIVIDEND (SNOXX),,,,$20.31
10/16/2023,Buy,AMZN,TDA TRAN - Bought 15 (AMZN) @131.8299,15,$131.83,,-$1977.45
10/16/2023,Buy,GOOG,TDA TRAN - Bought 15 (GOOG) @140.2099,15,$140.21,,-$2103.15
10/16/2023,Buy,AAPL,TDA TRAN - Bought 7 (AAPL) @178.6299,7,$178.63,,-$1250.41
10/16/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$4634.51
10/12/2023,Buy,GE,TDA TRAN - Bought 10 (GE) @111.2571,10,$111.26,,-$1112.57
10/12/2023,Buy,GOOG,TDA TRAN - Bought 10 (GOOG) @140.2499,10,$140.25,,-$1402.50
10/12/2023,Buy,MSFT,TDA TRAN - Bought 5 (MSFT) @330.2988,5,$330.30,,-$1651.49
10/12/2023,Buy,NVDA,TDA TRAN - Bought 1 (NVDA) @467.9500,1,$467.95,,-$467.95
10/12/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT,,,,$6000.00
10/11/2023,MoneyLink Transfer,,TDA TRAN - CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,$6000.00
10/10/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$4000.00
10/06/2023,MoneyLink Transfer,,TDA TRAN - CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),,,,-$4000.00
09/29/2023,Journaled Shares,MMDA1,TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1),1.77,,,
09/28/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT,,,,$0.28
09/28/2023,Qual Div Reinvest,,TDA TRAN - QUALIFIED DIVIDEND (NVDA),,,,$0.28
09/26/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT,,,,$1.60
09/26/2023,Cash Dividend,,TDA TRAN - ORDINARY DIVIDEND (VTI),,,,$1.60
09/20/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$572.71
09/18/2023,Buy,LLY,TDA TRAN - Bought 1 (LLY) @572.7050,1,$572.71,,-$572.71
09/18/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$4986.44
09/15/2023,Reinvest Shares,SNOXX,TDA TRAN - Bought 23.06 (SNOXX) @1.0000,23.06,$1.00,,-$23.06
09/15/2023,Cash Dividend,,TDA TRAN - ORDINARY DIVIDEND (SNOXX),,,,$23.06
09/15/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$1226.89
09/14/2023,Buy,AAPL,TDA TRAN - Bought 10 (AAPL) @175.4135,10,$175.41,,-$1754.14
09/14/2023,Buy,NVDA,TDA TRAN - Bought 2 (NVDA) @457.1417,2,$457.14,,-$914.28
09/14/2023,Buy,TSLA,TDA TRAN - Bought 5 (TSLA) @274.7150,5,$274.72,,-$1373.58
09/14/2023,Buy,GE,TDA TRAN - Bought 3 (GE) @115.5350,3,$115.54,,-$346.61
09/14/2023,Buy,LLY,TDA TRAN - Bought 1 (LLY) @597.8300,1,$597.83,,-$597.83
09/14/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT,,,,$14006.80
09/14/2023,Qual Div Reinvest,,TDA TRAN - QUALIFIED DIVIDEND (MSFT),,,,$6.80
09/13/2023,MoneyLink Transfer,,TDA TRAN - CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,$14000.00
09/13/2023,Buy,AAPL,TDA TRAN - Bought 7 (AAPL) @175.2699,7,$175.27,,-$1226.89
08/31/2023,Journaled Shares,MMDA1,TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1),1.15,,,
08/17/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$5130.20
08/17/2023,Qual Div Reinvest,,TDA TRAN - QUALIFIED DIVIDEND (AAPL),,,,$3.12
08/15/2023,Reinvest Shares,SNOXX,TDA TRAN - Bought 19.81 (SNOXX) @1.0000,19.81,$1.00,,-$19.81
08/15/2023,Cash Dividend,,TDA TRAN - ORDINARY DIVIDEND (SNOXX),,,,$19.81
08/15/2023,Buy,SPY,TDA TRAN - Bought 10 (SPY) @444.2594,10,$444.26,,-$4442.59
08/15/2023,Buy,AMZN,TDA TRAN - Bought 5 (AMZN) @138.1464,5,$138.15,,-$690.73
